poll_id,survey_id,survey_template_session_id,company_id,created_at,text
59,154,15,3,2016-07-15 09:55:15 UTC,meta-data driven data extraction and analysis platform
61,154,15,3,2016-07-15 09:55:30 UTC,half a year
62,154,15,3,2016-07-15 09:55:39 UTC,neutral
59,134,15,3,2016-07-15 10:13:19 UTC,some enterprise\big data\reporting stuff
61,134,15,3,2016-07-15 10:14:18 UTC,"hard to say, seems never"
62,134,15,3,2016-07-15 10:17:43 UTC,just a working atmosphere :)
59,115,15,3,2016-07-15 10:20:29 UTC,Don't know
61,115,15,3,2016-07-15 10:20:50 UTC,Once a week
62,115,15,3,2016-07-15 10:21:01 UTC,Good
61,176,15,3,2016-07-15 10:54:47 UTC,Once or twice a year
59,176,15,3,2016-07-15 10:54:04 UTC,It depends on results Sphere would like to get from open source activities and resources it is going to allocate.
62,176,15,3,2016-07-15 11:06:36 UTC,It does not disturb the working process
59,158,15,3,2016-07-15 11:31:20 UTC,probably some financial applications for bank systems.
61,158,15,3,2016-07-15 11:33:00 UTC,once a week
62,158,15,3,2016-07-15 11:34:47 UTC,quiet. thats awesome. I have nothing that could disturb me from work
59,163,15,3,2016-07-15 11:41:19 UTC,Not sure
61,163,15,3,2016-07-15 11:41:43 UTC,from time to time
59,112,15,3,2016-07-15 12:09:30 UTC,hard to say
61,112,15,3,2016-07-15 12:11:15 UTC,just right
62,112,15,3,2016-07-15 12:12:10 UTC,Quite good
59,125,15,3,2016-07-15 12:51:48 UTC,"I believe there should be a research for that, but it should be something in the technology we are positioning as our lead strength - RoR or any other from-end technology, for example. 
Regarding the research - we should figure out what the market/community need is so the tool we are developing or participating in development is needed and will not be forgotten "
61,125,15,3,2016-07-15 12:52:34 UTC,"I never received it from my direct manager, but I receive it frequently from my colleagues "
62,125,15,3,2016-07-15 12:53:34 UTC,"It is fine, but only because there are some core people who make it fine. Management does not contribute much to making it good for everyone."
59,111,15,3,2016-07-15 13:46:24 UTC,data products
61,111,15,3,2016-07-15 13:46:54 UTC,I'm not sure what it is
62,111,15,3,2016-07-15 13:47:05 UTC,friendly
59,211,15,3,2016-07-15 13:50:50 UTC,React 
61,211,15,3,2016-07-15 13:51:55 UTC,rerely
62,211,15,3,2016-07-15 13:52:05 UTC,good
59,140,15,3,2016-07-15 14:58:45 UTC,expand HR products
61,140,15,3,2016-07-15 14:59:45 UTC,enough  frequently
62,140,15,3,2016-07-15 14:59:57 UTC,friendly enviroment
59,118,15,3,2016-07-15 15:14:12 UTC,to spread the good name of our company. Basically make sure we are known to other company as a leader in the space. small product but useful and elegant. But Developers know better what there is a deficiency in the dev space and fill in the gap. 
61,118,15,3,2016-07-15 15:15:06 UTC,I receive it on regular bases
62,118,15,3,2016-07-15 15:15:25 UTC,Its friendly and lots of learning experience. 
59,171,15,3,2016-07-15 17:42:53 UTC,apps which help people finding service they need.
61,171,15,3,2016-07-15 17:43:21 UTC,never but probably it's because of specific of my job.
62,171,15,3,2016-07-15 17:43:35 UTC,friendly and cooperative
59,167,15,3,2016-07-15 18:03:41 UTC,"Chef, Capybara"
61,167,15,3,2016-07-15 18:04:32 UTC,one per 2 year
62,167,15,3,2016-07-15 18:04:44 UTC,friendly
59,122,15,3,2016-07-15 19:51:03 UTC,Some machine learning libraries/products
61,122,15,3,2016-07-15 19:51:48 UTC,Not too frequently. I work for a client onsite.
62,122,15,3,2016-07-15 19:51:54 UTC,Good
59,210,15,3,2016-08-14 01:11:45 UTC,Not sure
61,210,15,3,2016-08-14 01:14:23 UTC,Pretty often.
62,210,15,3,2016-08-14 01:15:02 UTC,Friendly and productvie
59,142,15,3,2016-08-14 07:12:44 UTC,Any of the tools that we use in our work
61,142,15,3,2016-08-14 07:13:25 UTC,Frequently enough
62,142,15,3,2016-08-14 07:13:32 UTC,Friendly
59,214,15,3,2016-08-14 10:15:56 UTC,don't know
61,214,15,3,2016-08-14 10:17:32 UTC,I don't remember
62,214,15,3,2016-08-14 10:19:30 UTC,good
41,32,16,3,2016-06-06 17:16:41 UTC,Everything!
31,33,18,3,2016-06-06 17:16:56 UTC,I'm not sure what it means : /
31,34,18,3,2016-06-07 08:59:04 UTC,hard to say
51,73,28,3,2016-06-13 16:07:49 UTC,Test Answer A
51,83,28,3,2016-06-13 16:07:53 UTC,New challenges
52,73,28,3,2016-06-13 16:07:59 UTC,Test Answer B
53,73,28,3,2016-06-13 16:08:12 UTC,Text answer C
52,83,28,3,2016-06-13 16:08:16 UTC,Lack of organization
53,83,28,3,2016-06-13 16:09:10 UTC,Performing my job role corresponding to the title
51,69,28,3,2016-06-13 16:15:43 UTC,friendly colleagues
52,69,28,3,2016-06-13 16:23:37 UTC,"
Lack of organization"
53,69,28,3,2016-06-13 18:04:25 UTC,switch to more engaging challenges
47,88,29,5,2016-06-14 14:45:45 UTC,ееее
70,372,30,3,2016-08-19 09:36:28 UTC,it's pretty good
71,372,30,3,2016-08-19 09:36:34 UTC,very likely
72,372,30,3,2016-08-19 09:36:41 UTC,not really
70,401,30,3,2016-08-19 09:36:55 UTC,can't understand question
70,411,30,3,2016-08-19 09:37:01 UTC,I work remotely and I'm absolutely happy and satisfied
71,411,30,3,2016-08-19 09:38:04 UTC,I always advice to try Sphere to my friends developers and QA
72,411,30,3,2016-08-19 09:38:17 UTC,I think so
70,432,30,3,2016-08-19 09:41:44 UTC,satisfied enough
71,432,30,3,2016-08-19 09:42:01 UTC,very likely
71,447,30,3,2016-08-19 11:36:51 UTC,I recommended Sphere to my friends developers.
72,447,30,3,2016-08-19 11:40:46 UTC,I'm not sure if I understand the question correctly.
70,423,30,3,2016-08-19 11:46:14 UTC,More or less
71,423,30,3,2016-08-19 11:46:38 UTC,Will recommend
72,423,30,3,2016-08-19 11:46:50 UTC,No
70,378,30,3,2016-08-19 12:37:46 UTC,9 of 10
70,367,30,3,2016-08-19 12:46:33 UTC,Very good
71,367,30,3,2016-08-19 12:46:47 UTC,No problem
71,378,30,3,2016-08-19 12:37:49 UTC,Depends on relationship with this 'SOMEONE'
72,378,30,3,2016-08-19 12:37:52 UTC,A lot of projects are tested manually instead of automation.
70,374,30,3,2016-08-19 14:24:04 UTC,On a rate from 1 to 5 - it would be 3
71,374,30,3,2016-08-19 14:24:44 UTC,Depends on the position. In our company there is a difference in how different specialists are treated
72,374,30,3,2016-08-19 14:25:13 UTC,"No, I think we are following the trends and wouldn't be concerned about this"
70,360,30,3,2016-08-19 15:08:01 UTC,Everything is fine for me
71,360,30,3,2016-08-19 15:09:37 UTC,I'm certainly willing
72,360,30,3,2016-08-19 15:10:09 UTC,hard to say
70,386,30,3,2016-08-19 16:40:27 UTC,Satisfied
71,386,30,3,2016-08-19 16:42:25 UTC,I'll refer this place to work.
72,386,30,3,2016-08-19 16:49:07 UTC,"Yes, I think we are follow trends. But, it's never stops, so we should work on progress all time. I think we can improve our visual part. We have places where we can be better. Also we have a great team for this)"
70,461,30,3,2016-08-22 07:24:36 UTC,OK
71,461,30,3,2016-08-22 07:25:01 UTC,8/10
72,461,30,3,2016-08-22 07:26:02 UTC,nope
47,96,31,5,2016-06-21 09:23:37 UTC,321231
32,223,36,5,2016-07-18 14:03:57 UTC,asdasdasd
35,223,36,5,2016-07-18 14:03:59 UTC,asdsadsad
64,280,38,3,2016-08-12 07:20:49 UTC,Don't know
64,277,38,3,2016-08-12 07:21:04 UTC,"almost never, cause anyone knows about it"
65,280,38,3,2016-08-12 07:21:07 UTC, 1
65,277,38,3,2016-08-12 07:21:42 UTC,"no, there are not any thing about company I should know"
66,277,38,3,2016-08-12 07:22:11 UTC,paid tech conferences 
67,277,38,3,2016-08-12 07:22:54 UTC,hard to say
65,285,38,3,2016-08-12 07:23:09 UTC,no
66,285,38,3,2016-08-12 07:23:26 UTC,everything is cool 
68,285,38,3,2016-08-12 07:24:01 UTC,everything is cool :)
64,319,38,3,2016-08-12 07:41:50 UTC,I don't work hard a lot. 
67,319,38,3,2016-08-12 07:47:44 UTC,A person who requires that
66,307,38,3,2016-08-12 08:32:04 UTC,"It would be great to increase salaries once a year according to person affords and feedbacks from teammates and customers. Really, even 50$ increasing per year (of cause if person has a good feedbacks) would be great for me. Also It would be great to have some paid  days off for maternity leave. Even 2 weeks (10 work days) - it would be much better than now (now it's 0). Because woman who just have a baby exhausted and she gives a low performance for you any way in one side, in other side - the regular 20 days paid vacation per year is not enough, because she cannot use its all - she definitely will need it more during the first year of her baby. And, when woman just have a baby, she's definitely need a lot of money, so it's hard for her to take an unpaid days off."
67,307,38,3,2016-08-12 08:33:20 UTC,Valerii Prokopchuk
65,317,38,3,2016-08-12 09:35:17 UTC,probably
66,317,38,3,2016-08-12 09:36:05 UTC,"conferences, equipment"
67,317,38,3,2016-08-12 09:36:32 UTC,under what?
64,264,38,3,2016-08-12 12:41:17 UTC,sometimes 
66,264,38,3,2016-08-12 12:42:28 UTC,semi annual bonuses 
67,271,38,3,2016-08-12 12:42:44 UTC,I do not know
68,271,38,3,2016-08-12 12:43:22 UTC,See the previous question (I guess #2 or #3)
67,264,38,3,2016-08-12 12:46:50 UTC,Valeriy Prokopchuk 
68,264,38,3,2016-08-12 12:47:33 UTC,I know everything =)
64,287,38,3,2016-08-12 12:53:57 UTC,Almost always
65,287,38,3,2016-08-12 12:56:11 UTC,"foundation history, whole number of employees"
66,287,38,3,2016-08-12 13:00:25 UTC,maybe some kind of playing room
67,287,38,3,2016-08-12 13:10:09 UTC,I don't fully understand question
68,287,38,3,2016-08-12 13:12:09 UTC,a lot of things )
64,353,38,3,2016-08-12 13:23:01 UTC,Always
65,353,38,3,2016-08-12 13:24:04 UTC,"Pretty sure, but I think I know everything necessary."
66,353,38,3,2016-08-12 13:32:19 UTC,"Not sure, nothing comes to my mind.

And I noticed an issue with survey interface. On a wide screen, long question text on top of field for answer is hiding. Only one line of text is visible and looks like the question ends up unexpectedly. And question mark is missing in the end of question text."
67,353,38,3,2016-08-12 13:36:09 UTC,"Sure, why not. But depends on field what to learn."
68,353,38,3,2016-08-12 13:38:35 UTC,No. But feel free to tell me everything that I should know about.
64,270,38,3,2016-08-12 14:22:01 UTC,Rarely 
65,270,38,3,2016-08-12 14:22:32 UTC,"No, I think I have all needed information"
66,270,38,3,2016-08-12 14:22:47 UTC,Medical insurance
67,270,38,3,2016-08-12 14:24:18 UTC,"Some experienced Business Analyst, I don't know if we have anyone like that in our company"
68,270,38,3,2016-08-12 14:24:49 UTC,I can't think os such things
64,263,38,3,2016-08-12 15:32:41 UTC,on weekly basis
65,263,38,3,2016-08-12 15:33:06 UTC,What's our strategic plan? 
66,263,38,3,2016-08-12 15:33:15 UTC,all good
67,263,38,3,2016-08-12 15:33:28 UTC,I am good
68,263,38,3,2016-08-12 15:33:39 UTC,nothing
64,282,38,3,2016-08-12 16:22:31 UTC,maybe once a month or more
65,282,38,3,2016-08-12 16:26:41 UTC,If I have some question - I'm always ask
66,282,38,3,2016-08-12 16:28:39 UTC,"It's same, If I would like some offer- i'll offer it first)"
67,282,38,3,2016-08-12 16:33:28 UTC,I'm a designer and I didn't know who can give me a special experience in our company. But I like work with most of our team. It's always positive progress in work.
68,282,38,3,2016-08-12 16:34:23 UTC,I saw this q beffore)))
64,326,38,3,2016-08-12 19:19:15 UTC,not often
65,326,38,3,2016-08-12 19:19:36 UTC,no such sthings
66,326,38,3,2016-08-12 19:20:24 UTC,annually bonuses
67,326,38,3,2016-08-12 19:21:59 UTC,myself
68,326,38,3,2016-08-12 19:22:23 UTC,future plans
